AUTO_ID;MERK;BOUWJAAR;KILOMETER_STAND;VRAAGPRIJS;EXTERIEUR_KLEUR;BRANDSTOF;CARROSSERIEVORM;MODEL
48580245;VOLKSWAGEN;2019;19879;15940;BLAUW;BENZINE;HATCHBACK;POLO
48580718;RENAULT;2017;66193;12500;ZWART;BENZINE;HATCHBACK;CLIO
48580747;OPEL;2020;10;21999;GRIJS;BENZINE;HATCHBACK;CORSA
48580863;MERCEDES-BENZ;2020;9081;32950;GRIJS;BENZINE;HATCHBACK;A-KLASSE
48581166;BMW;2020;5101;42950;WIT;BENZINE;SEDAN;3-SERIE
48581240;BMW;2020;2412;45950;GRIJS;BENZINE;HATCHBACK;4-SERIE GRAN COUPE
48581395;VOLKSWAGEN;2008;297375;6740;ZWART;DIESEL;BEDRIJFSWAGEN;TRANSPORTER
48581502;AUDI;2018;39998;31240;GRIJS;DIESEL;STATIONWAGEN;A4
48581937;FORD;2000;360104;575;GRIJS;DIESEL;STATIONWAGEN;MONDEO
48581952;OPEL;2018;35700;10950;WIT;BENZINE;SUV;KARL
48581980;OPEL;2007;118501;5950;ZWART;BENZINE;MPV;MERIVA
48581989;RENAULT;2009;119506;7950;ORANJE;BENZINE;COUPE;MEGANE
48582181;HYUNDAI;2011;102739;6900;GRIJS;BENZINE;HATCHBACK;I10
48582324;KIA;2012;51083;15495;ZWART;BENZINE;SUV;SPORTAGE
48582374;PEUGEOT;2021;15;43950;BLAUW;BENZINE;STATIONWAGEN;508
48583226;MAZDA;2008;233040;5950;ZWART;BENZINE;STATIONWAGEN;6
48583330;MINI;2019;12329;25900;GRIJS;BENZINE;HATCHBACK;COOPER
48583334;MERCEDES-BENZ;2013;107145;42950;ZWART;BENZINE;SEDAN;S-KLASSE
48584560;MITSUBISHI;2015;124066;15900;WIT;BENZINE / ELEKTRICITEIT;SUV;OUTLANDER
48584827;VOLVO;2021;1500;50045;ROOD;BENZINE / ELEKTRICITEIT;SEDAN;S60
48584864;BMW;2007;99457;28950;WIT;BENZINE;COUPE;3-SERIE
48585383;MERCEDES-BENZ;2015;114765;19900;WIT;DIESEL;HATCHBACK;A-KLASSE
48585507;RENAULT;2018;44735;11995;ZWART;BENZINE;STATIONWAGEN;CLIO
48585911;MERCEDES-BENZ;2014;80061;19295;ZWART;BENZINE;SEDAN;C-KLASSE
48586018;MITSUBISHI;2010;193547;8950;WIT;DIESEL;SUV;OUTLANDER
48586545;BMW;2014;159839;21900;ZWART;BENZINE;SEDAN;5-SERIE
48586762;MERCEDES-BENZ;2019;45000;37495;ZWART;BENZINE;SEDAN;CLA
48586948;FORD;2017;51411;11438;GRIJS;BENZINE;HATCHBACK;FIESTA
48587063;NISSAN;2016;33731;10888;GRIJS;BENZINE;MPV;NOTE
48587261;PEUGEOT;2017;72474;18750;BLAUW;DIESEL;SUV;3008
48587338;RENAULT;2020;18182;16900;ROOD;BENZINE;STATIONWAGEN;CLIO
48587492;RENAULT;2018;25785;23995;WIT;ELEKTRICITEIT;HATCHBACK;ZOE
48587551;RENAULT;2007;184032;0;WIT;DIESEL;BEDRIJFSWAGEN;TRAFIC
48587636;VOLKSWAGEN;2019;21712;23250;GRIJS;BENZINE;HATCHBACK;GOLF
48588312;BMW;2014;88939;17890;GRIJS;BENZINE;HATCHBACK;1-SERIE
48588492;HYUNDAI;2020;13500;27950;ROOD;BENZINE / ELEKTRICITEIT;HATCHBACK;IONIQ
48588707;PEUGEOT;2015;113419;7999;BLAUW;DIESEL;STATIONWAGEN;308
48588923;RENAULT;2016;50579;12700;ZWART;BENZINE;HATCHBACK;CLIO
48589260;MERCEDES-BENZ;2020;18001;35350;ZWART;DIESEL;MPV;B-KLASSE
48589605;SEAT;2011;170260;5499;ZWART;BENZINE;STATIONWAGEN;ALTEA XL
48590341;VOLVO;1997;588640;2999;PAARS;LPG / BENZINE;STATIONWAGEN;V90
48590360;HYUNDAI;2021;15;50285;WIT;ELEKTRICITEIT;HATCHBACK;KONA
48590367;OPEL;2010;159088;8499;BLAUW;BENZINE;HATCHBACK;ASTRA
48590395;SEAT;2013;91771;5999;GRIJS;BENZINE;HATCHBACK;MII
48590814;ABARTH;2017;44554;19950;ZWART;BENZINE;HATCHBACK;595
48590816;BMW;2017;94148;24950;BLAUW;DIESEL;COUPE;4-SERIE
48590924;VOLKSWAGEN;2017;84410;13950;GRIJS;BENZINE;HATCHBACK;GOLF
48590926;BMW;2015;128240;37940;GRIJS;DIESEL;STATIONWAGEN;5-SERIE
48591332;CITROEN;2015;48603;12450;WIT;BENZINE;HATCHBACK;C3
48591654;RENAULT;2015;100836;10950;ZWART;BENZINE;STATIONWAGEN;CLIO
48592353;VOLKSWAGEN;2014;45548;14795;ZWART;ELEKTRICITEIT;HATCHBACK;UP!
48592379;VOLKSWAGEN;2013;115619;15900;BLAUW;BENZINE;HATCHBACK;POLO
48592399;CITROEN;1930;8903;23500;ROOD;BENZINE;OVERIG;AC4
48592605;PEUGEOT;2020;17141;52950;WIT;BENZINE / ELEKTRICITEIT;STATIONWAGEN;508
48592612;VOLKSWAGEN;2013;160325;11900;GRIJS;BENZINE;STATIONWAGEN;GOLF
48592673;OPEL;2015;73191;21950;GRIJS;DIESEL;PERSONENBUS;VIVARO
48592773;BMW;2014;160702;14900;GRIJS;DIESEL;MPV;2-SERIE ACTIVE TOURER
48592862;MERCEDES-BENZ;2013;186505;11890;WIT;DIESEL;BEDRIJFSWAGEN;SPRINTER
48593044;SEAT;2019;19435;17995;ORANJE;BENZINE;SUV;ARONA
48593317;FORD;2016;63127;14945;ZWART;DIESEL;STATIONWAGEN;MONDEO
48593346;CHRYSLER;2005;131436;12950;ZWART;BENZINE;PERSONENBUS;GRAND VOYAGER
48593365;TOYOTA;2009;223175;7450;BLAUW;BENZINE;STATIONWAGEN;AVENSIS
48593814;FORD;2014;124679;11890;WIT;DIESEL;BEDRIJFSWAGEN;TRANSIT CUSTOM
48593929;AUDI;2015;89736;19900;ZWART;BENZINE;STATIONWAGEN;A4
48593988;BMW;2014;55222;59995;GEEL;BENZINE;COUPE;M4
48594070;TOYOTA;2019;10000;23425;WIT;BENZINE;STATIONWAGEN;AURIS
48594088;RENAULT;2013;150125;9890;WIT;DIESEL;BEDRIJFSWAGEN;TRAFIC
48594448;MERCEDES-BENZ;2016;198738;16890;WIT;DIESEL;BEDRIJFSWAGEN;SPRINTER
48594649;FORD;2016;94926;17935;GRIJS;BENZINE;SUV;KUGA
48594761;PEUGEOT;2017;22503;9590;ZWART;BENZINE;HATCHBACK;108
48594764;HYUNDAI;2017;136188;17900;GRIJS;ELEKTRICITEIT;HATCHBACK;IONIQ
48594781;OPEL;2016;148413;16890;WIT;DIESEL;BEDRIJFSWAGEN;VIVARO
48595053;KIA;2017;61458;8995;WIT;BENZINE;HATCHBACK;PICANTO
48595122;KIA;2016;30087;6500;ZWART;BENZINE;HATCHBACK;PICANTO
48595247;RENAULT;2012;177419;11890;WIT;DIESEL;BEDRIJFSWAGEN;MASTER
48595464;OPEL;2014;156715;6250;GRIJS;DIESEL;MPV;MERIVA
48595495;VOLKSWAGEN;2014;142044;8890;WIT;DIESEL;BEDRIJFSWAGEN;CADDY
48595688;NISSAN;2021;10;15495;GRIJS;DIESEL;BEDRIJFSWAGEN;NV250
48595721;NISSAN;2014;47260;8950;PAARS;BENZINE;HATCHBACK;MICRA
48596085;FORD;2013;168469;8980;ZWART;BENZINE;STATIONWAGEN;FOCUS
48596258;RENAULT;2013;165210;7890;WIT;DIESEL;STATIONWAGEN;MEGANE
48596518;RENAULT;2016;117614;7980;ZWART;DIESEL;STATIONWAGEN;CLIO
48596647;OPEL;2014;105260;14950;GRIJS;BENZINE;STATIONWAGEN;INSIGNIA
48596947;VOLKSWAGEN;2013;199156;10890;GRIJS;DIESEL;HATCHBACK;GOLF
48597086;BMW;2012;172291;16890;BLAUW;DIESEL;STATIONWAGEN;5-SERIE
48599220;NISSAN;2016;64254;17995;GRIJS;BENZINE;SUV;QASHQAI
48599307;PEUGEOT;2021;15;43950;BLAUW;BENZINE;STATIONWAGEN;508
48599356;VOLKSWAGEN;2006;242188;4250;BLAUW;DIESEL;STATIONWAGEN;PASSAT
48599366;BMW;2014;71214;24850;ZWART;BENZINE;HATCHBACK;4-SERIE GRAN COUPE
48599376;KIA;2016;63095;13250;ROOD;BENZINE;STATIONWAGEN;CEE'D
48599377;MERCEDES-BENZ;2005;115798;15755;ZWART;BENZINE;CABRIOLET;SLK
48599380;RENAULT;2011;174785;7250;BEIGE;DIESEL;HATCHBACK;MEGANE
48599768;DS;2020;16896;38948;BLAUW;ELEKTRICITEIT;SUV;3 CROSSBACK
48599780;OPEL;2019;33589;29995;WIT;DIESEL;BEDRIJFSWAGEN;MOVANO
48600096;OPEL;2015;54192;15725;GRIJS;BENZINE;SUV;MOKKA / MOKKA X
48600219;MERCEDES-BENZ;2019;13165;32444;ZWART;BENZINE;SUV;GLA
48600224;MERCEDES-BENZ;2020;3853;37850;GRIJS;BENZINE;STATIONWAGEN;CLA
48600289;PEUGEOT;2021;15;29100;BLAUW;BENZINE;HATCHBACK;308
48600633;BMW;2018;25857;33998;GRIJS;BENZINE;SUV;X1
48601088;AIXAM;2021;5;20632;BLAUW;ELEKTRICITEIT;OVERIG;E COUPE
48602013;VOLKSWAGEN;1997;257671;2650;ZWART;BENZINE;HATCHBACK;GOLF
48602135;VOLKSWAGEN;2017;101105;10500;ZWART;BENZINE;HATCHBACK;POLO
48602364;HYUNDAI;2011;170340;9950;BLAUW;BENZINE;SUV;IX35
48602742;TOYOTA;2019;78465;20900;GRIJS;BENZINE / ELEKTRICITEIT;STATIONWAGEN;AURIS
48602754;HYUNDAI;2019;6000;29950;BLAUW;ELEKTRICITEIT;HATCHBACK;IONIQ
48603127;SUZUKI;2021;25;13425;WIT;BENZINE;HATCHBACK;CELERIO
48605097;KIA;2015;185637;21950;GRIJS;DIESEL;SUV;SORENTO
48605662;MERCEDES-BENZ;2019;38323;38450;ROOD;BENZINE;HATCHBACK;A-KLASSE
48605875;ASTON MARTIN;2017;11596;179950;GRIJS;BENZINE;COUPE;DB11
48606324;BMW;2020;6999;37995;ZWART;BENZINE;HATCHBACK;4-SERIE GRAN COUPE
48607163;CITROEN;2000;166660;644;GROEN;BENZINE;MPV;XSARA PICASSO
48607877;OPEL;2021;15;25667;ZWART;BENZINE;HATCHBACK;CORSA
48607891;NISSAN;2021;1;23012;ZWART;BENZINE;HATCHBACK;MICRA
48607913;FORD;2017;82798;27950;BLAUW;DIESEL;BEDRIJFSWAGEN;TRANSIT CUSTOM
48607937;NISSAN;2020;4000;19950;ROOD;BENZINE;HATCHBACK;MICRA
48608517;PEUGEOT;2019;26856;29450;BLAUW;BENZINE;SUV;3008
48608622;VOLVO;2009;219925;11900;GRIJS;DIESEL;SUV;XC60
48608748;SUBARU;2019;19962;29440;BLAUW;BENZINE;HATCHBACK;XV
48608827;TOYOTA;2021;10;80935;BLAUW;WATERSTOF;SEDAN;MIRAI
48609659;FORD;2015;122250;9500;WIT;DIESEL;BEDRIJFSWAGEN;TRANSIT CONNECT
48609765;FORD;2015;94000;9750;WIT;DIESEL;BEDRIJFSWAGEN;TRANSIT CONNECT
48610079;FORD;2016;120000;18250;ZWART;DIESEL;BEDRIJFSWAGEN;TRANSIT CUSTOM
48610091;AUDI;2019;28000;82950;GRIJS;DIESEL;SEDAN;A8
48610309;NISSAN;2015;115521;14640;GRIJS;BENZINE;SUV;QASHQAI
48610947;BMW;1959;61936;28950;GRIJS;BENZINE;;ISETTA
